,text,summary,title
1364,health insurance program premium assistance provisions of federal law including provisions of the patient protection and affordable care act public law paca ii give priority to but not be limited to expanding the states utah premium partnership for health insurance program including as required under subsection and encourage the enrollment of all individuals within  household in the same plan where possible including enrollment in  plan that allows individuals within the household transitioning out of medicaid to retain the same network and benefits they had while enrolled in medicaid the department shall seek federal approval of an amendment to the states utah premium partnership for health insurance program to adjust the eligibility determination for single adults and parents who have an offer of employer sponsored insurance the amendment shall be within existing appropriations for the utah premium partnership for health insurance program and provide that adults who are up to of the federal poverty level are eligible for premium subsidies in the utah premium partnership for health insurance program for the fiscal year the department shall seek authority to increase the maximum premium subsidy per month for adults under the utah premium partnership for health insurance program to beginning with the fiscal year and in each subsequent fiscal year the department may increase premium subsidies for single adults and parents who have an offer of employer sponsored insurance to keep pace with the increase in insurance premium costs subject to appropriation of additional funding section section which is renumbered from section is renumbered and amended to read enrolled copy expanding the medicaid program as used in this section cms means the centers for medicare and medicaid services in the united states department of health and human services ba federal poverty level means the same as that term is defined in section cb medicaid expansion means an expansion of the medicaid program in accordance with this section dc medicaid expansion fund means the medicaid expansion fund created in section asset forth in subsections through eligibility criteria for the medicaid programs hall be expanded to cover addition allow income individuals the department shall continue to seek approval from cms to implement the medicaid waiver expansion as defined in section the department may implement any provision described in subsections through viii in  medicaid expansion if the department receives approval from cms to implement that provision the department shall expand the medicaid program in accordance with this subsection if the department receives approval from cms to expand medicaid coverage to eligible individuals whose income is below of the federal poverty level ii obtain maximum federal financial participation under us csec,"This bill recodifies provisions regarding health care administration and assistance and vital statistics, health data, and the Utah Medical Examiner. The bill also makes technical and corresponding changes.",UT SB39
841,the department of elementary and secondary education shall promulgate all necessary rules and regulations for the implementation and administration of this section such rules and regulations shall ensure compliance with state and federal law regarding the confidentiality of student medical information any rule or portion of rule as that term is defined in section that is created under the authority delegated in this sections hall become effective only if it complies with and is subject to all of the provisions of chapter and if applicable section this section and chapter are non severable and if any of the powers vested with the general assembly pursuant to chapter to review to delay the effective date or to disapprove and annul rule are subsequently held unconstitutional then the grant of rule making authority and any rule proposed or adopted after august shall be invalid and void,"This bill defines ""sex"" as, the two main categories of male and female into which individuals are divided based on an individual's reproductive biology at birth and the individual's genome. The bill prohibits public school districts and charter schools from allowing a student to participate in a sport designated for the opposite sex as determined by the student's official birth certificate, or if unobtainable, another government record. However, a school district can allow a female student to compete in an athletic competition designated for male students if there is no such competition designated for female students available. The bill clarifies that biological sex is only correctly stated on birth certificates if it was entered at or near the time of birth or modified to correct scrivener's error.",MO HB337
67,enrollment public charter school superintendent or the public school or open enrollment public charter school building principal to share sleeping quarters with  member of the opposite sex who is not  family member of the public school student or the public school district or open enrollment public charter school is found to be non compliant under subsection  of this section g the division of elementary and secondary education shall promulgate rules to implement this section s bentley,"This bill would apply to multiple-occupancy restrooms and locker rooms, as well as rooms for students on overnight trips. It also requires schools to “provide a reasonable accommodation” to anyone “unwilling or unable to use a multiple occupancy restroom or changing area” based on their biological sex, such as a single-occupancy gender-neutral restroom.",AR HB1156
575,make recommendations to the state board of education from time to s  no s official s page rd  kr time as to changes which should be made in the curriculum in the grammar school grades and in the highschool grades on or before july and annually thereafter the curriculum committee shall develop  report to the state board of education and the legislature relating to the compliance of each public school district and school in the state with the provisions of the mississippi families rights and responsibilities act with recommendations to the commission on school accreditation regarding the continued accreditation of each school district and school based on compliance with said act the members of such committee as of july shall continue to serve until the expiration of the terms for which they were appointed thereafter the members of such committee shall be appointed and serve for term of two years and until their successors are appointed each member of said committee shall receive  per diem of fifteen dollars for each day actually spent attending the meetings of the committee and in addition each members hall be reimbursed for actual travel expenses at the rate of six cents per mile for each mile traveled in attending the meetings of the committee however the total amount paid to any member of the committee for per diem shall not exceed the sum of one hundred fifty dollars in anyone year the per diem and travel expenses provided for here in shall be paid out of such appropriation as maybe made for such purpose by the legislature s  no s official s page rd  kr section section mississippi code of is brought forward as follows it is hereby recognized and established that in addition to such other persons as maybe so authorized and empowered anyone of the following persons who is reasonably available in descending order of priority is authorized and empowered to consent on behalf of  nun emancipated minor either orally or otherwise to any surgical or medical treatment or procedures not prohibited by law which maybe suggested recommended prescribed or directed by  duly licensed physician the minors guardian or custodian the minors parent can adult brother or sister of the minor the minors grandparent if none of the individuals eligible to act under subsection is reasonably available an adult who has exhibited special care and concern for the minor and who is reasonably available may act the adults hall communicate the assumption of authority as promptly as practicable to the individuals specified in subsection who can be readily contacted any female regardless of age or marital status is empowered to give consent for herself in connection with pregnancy,This bill provides that the local school board in consultation with parents and teachers shall develop and adopt a policy to promote the involvement of parents of children enrolled in the public schools. The bill requires public schools to adopt procedures to ensure that a parent provides written permission before their child participates in identity curriculum or critical theory curriculum and allow parents to exempt their child from any specific lessons that are objectionable to the family. The bill requires parental consent for medical and mental health care.,MS SB2765
1575,new section sec this chapter maybe known and cited as the childhood protection act new section sec the legislature finds that important information relating to  child should not be withheld either inadvertently or purposefully from his or her parent including information relating to the childs health wellbeing and education while the child is in the custody of the school district the legislature further finds it is necessary to establish consistent mechanism for parents to be notified of information relating to the health and wellbeing of their children and that it is  fundamental right of parents to direct the upbringing education and care of their children and for children to be protected by their parents for purposes of this chapter the term parent means person who has legal custody of  minor child as  natural or adoptive parent or  legal guardian s senate bill state of washington th legislature regular session by senator fortuna top new section sec the state any of its political subdivisions any other governmental entity or any other institution may not infringe on the fundamental right of  minor child to have his or her parent direct the childs upbringing education health care and mental health without demonstrating that such action is reasonable and necessary to achieve  compelling state interest and that such action is narrowly tailored and is not otherwise served by less restrictive means new section sec the fundamental rights of  minor child to be protected by his or her parent are reserved to the minor child without obstruction or interference from the state any of its political subdivisions any other governmental entity or any other institution including but not limited to all of the following rights in this state the minor childs right to have his or her parent direct the education and care of his or her minor child the minor childs right to have his or her parent direct the upbringing and the moral or religious training of the minor child the minor childs right to have his or her parent enroll his or her child in  public school or as an alternative to public education  private school religious school  home education program or other available options the minor childs right to have his or her parent access and review all school records relating to the minor child pursuant to rc the minor childs right to have his or her parent make health care decisions for his or her minor child unless otherwise prohibited by law the minor childs right to have his or her parent access and review all medical records of the minor child unless prohibited by law or if the parent is the subject of an investigation of  crime committed against the minor child and  law enforcement agency or,"This bill requires a minor's education, upbrining, health care and all decided on by the legal guardians of the minor. ",WA SB5653
1549,the harm occurred the provisions of this sections hall be construed liberally so as to effectuate its purposes to the fullest extent permitted by law if anyone or more provisions subsections sentences clauses phrases or words of this section or their application to any individual entity or circumstance is found to be unconstitutional it shall be deemed severable and the remainder of this section and its applicability to other individuals entities or circumstances not similarly situated shall remain effective that the provisions of this acts hall be effective beginning with the school year,"This bill requires each interscholastic, intercollegiate, intramural, or club athletic team or sport sponsored by a public elementary or secondary school or by a public institution of higher education to be expressly designated as one of the following based on biological sex: (i) males, men, or boys; (ii) females, women, or girls; or (iii) coed or mixed if participation on such team or sport is open to both (a) males, men, or boys and (b) females, women, or girls. The bill requires identification of the student's biological sex on an athletics eligibility form signed by a licensed physician, nurse practitioner, or physician assistant to be submitted by any such student who desires to try out for or participate in an interscholastic, intercollegiate, intramural, or club athletic team or sport. The bill prohibits any such team or sport that is expressly designated for females, women, or girls from being open to students whose biological sex is male. The bill further prohibits any interscholastic, intercollegiate, intramural, or club athletic team or sport sponsored by a public elementary or secondary school or a public institution of higher education from competing against any interscholastic, intercollegiate, intramural, or club athletic team or sport sponsored by a private elementary or secondary school or private institution of higher education in the Commonwealth unless such private school or institution complies with the applicable provisions of the bill. The bill prohibits any government entity, licensing or accrediting organization, or athletic association or organization from entertaining a complaint, opening an investigation, or taking any other adverse action against public school or institution of higher education based on a violation of the provisions of the bill and creates a cause of action for any school or institution of higher education that suffers harm as a result of a violation of the bill. Finally, the bill creates a civil cause of action for any student that suffers harm as a result of a knowing violation of a provision of the bill by a school or institution or as a result of the student's reporting a violation of a provision of the bill by a school, institution, athletic association, or organization.",VA HB1387
251,dys  horia are prohibited in this state sex reassignment surgeries or any other surgical procedures that are performed for the purpose of altering primary or secondary sexual characteristics and hormone replacement therapies the boards hall adopt rules and regulations regarding the prohibitions contained in subsection  of this code section which shall contain limited exceptions for treatments for medical conditions other than gender dys  horia or for the purpose of sex reassignment where such treatments are deemed medically necessary treatments for individuals born with  medically verifiable disorder of sex development including individuals born with ambiguous genitalia or chromosomal abnormalities resulting in ambiguity regarding the individuals biological sex ap treatments for individuals with partial androgen insensitivity syndrome and continued treatment of minors who are prior to july being treated with irreversible hormone replacement therapies ca licensed physician who violates this code sections hall beheld administratively accountable to the board for such violation section all laws and parts of laws in conflict with this act are repealed,This bill prohibits certain surgical procedures for the treatment of gender dysphoria in minors from being performed in hospitals and other licensed healthcare facilities and provides for exceptions and violations. ,GA SB140
1452,any third party required to make payment to the department pursuant to this chapter parts hall make the payment directly to the department or its design ee the department may negotiate  payment or payment instrument it receives in connection with subsection without the co signature or other participation of the recipient or any other party section section which is renumbered from section is renumbered and amended to read attorney general or county attorney to represent department the attorney general or  county attorney shall represent the department in any action commenced under this chapter part section section which is renumbered from section is renumbered and amended to read departments right to attorney fees and costs in any action brought by the department under this chapter part in which it prevails the department shall recover along with the principal sum and interest  reasonable attorney enrolled copy fee and costs incurred section section which is renumbered from section is renumbered and amended to read application of provisions contrary to federal law prohibited in no events hall any provision contained in this chapter part be applied contrary to existing federal law section section which is renumbered from section is renumbered and amended to read part utah false claims act definitions as used in this chapter part benefit means the receipt of money goods or any other thing of pecuniary value claim means any request or demand for money or property made to any employee officer or agent of the state ii contractor with the state or grant ee or other recipient whether or not under contract with the state and bif any portion of the money or property requested or demanded was issued from or provided by the state or ii the state will reimburse the contractor grant ee or other recipient for any portion of the money or property false statement or false representation means  wholly or partially untrue statement or representation which is knowingly made and ba material fact with respect to the claim enrolled copy knowing and knowingly for purposes of criminal prosecutions for violations of this chapter part is one of the culpable mental states described in subsection and for purposes of civil prosecutions for violations of this chapter part is the required culpable mental state as defined in subsection medical benefit means  benefit paid or payable to  recipient or  provider under program administered by the state under titles vand xix of the federal social security act title  of the federal public health services act the federal child nutrition act of as amended by pl pub  no and dany programs for medical assistance of the state person means an individual corporation unincorporated association professional,"This bill recodifies provisions regarding health care administration and assistance and vital statistics, health data, and the Utah Medical Examiner. The bill also makes technical and corresponding changes.",UT SB39
528,for  license or to fine place on probation and or discipline licensee in any manner specified in this article upon proof that such person has committed fraud or deceit in securing or attempting to secure such license has been convicted of  felony or  crime involving moral turpitude or has had accepted by  court  plea of section header fl agnolo contender  to  felony or  crime involving moral turpitude hb no hr official hr page rf jabs tms safe adolescents from experimentation safe create to prohibit providing gender transition procedures to minors  certified copy of the judgment of the court of competent jurisdiction of such conviction or pleas shall be prima fa cie evidence of such conviction chas negligently or willfully acted in  manner inconsistent with the health or safety of the persons under the licensees care has had  license or privilege to practice as registered nurse or  licensed practical nurse suspended or revoked in any jurisdiction has voluntarily surrendered such license or privilege to practice in any jurisdiction has been placed on probation as  registered nurse or licensed practical nurse in any jurisdiction or has been placed under  disciplinary orders in any manner as  registered nurse or licensed practical nurse in any jurisdiction  certified copy of the order of suspension revocation probation or disciplinary actions hall be prima fa cie evidence of such action has negligently or willfully practiced nursing in manner that fails to meet generally accepted standards of such nursing practice has negligently or willfully violated any order rule or regulation of the board pertaining to nursing practice or li censure g has falsified or in  repeatedly negligent manner made incorrect entries or failed to make essential entries on records hb no hr official hr page rf jabs tms safe adolescents from experimentation safe create to prohibit providing gender transition procedures to minors his addicted to or dependent on alcohol or other habit forming drugs or is  habitual user of narcotics barbiturates amphetamines hallucinogens or other drugs having similar effect or has misappropriated any medication has  physical mental or emotional condition that renders the licensee unable to perform nursing services or duties with reasonable skill and safety has engaged in any other conduct whether of the same or of  different character from that specified in this article that would constitute  crime as defined in title of the mississippi code of,"This act, known as the Mississippi save adolescents from experimentation (safe) act, provides legislative findings regarding the risks of gender transition procedures for minors. The act prohibits physicians and other health care professionals from providing gender transition procedures to any person under eighteen years of age and prohibits physicians and other health care professionals from referring any person under eighteen years of age to any health care professional for gender transition procedures. The act provides for certain exceptions to those prohibitions. The bill prohibits the direct or indirect use, grant, payment or distribution of public funds to any entity, organization or individual that provides gender transition procedures to a person under eighteen years of age. The bill provides that health care services furnished in a state or locally-owned health care facility or by a physician or other health care professional employed by the state or local government shall not include gender transition procedures for a person under eighteen years of age",MS HB1127
1562,limited to the local or state social services and mental health agencies these guidelines may include case studies and problem solving exercises and maybe designed as materials for in service training programs for licensed administrative and instructional personnel introduced,"This bill requires any person licensed as administrative or instructional personnel by the Board of Education and employed by a local school board who, in the scope of his employment, has reason to believe, as a result of direct communication from a student, that such student is self-identifying as a gender that is different than his biological sex to contact, as soon as practicable and in accordance with Board guidelines, at least one of such student's parents to ask whether such parent is aware of the student's mental state and whether the parent wishes to obtain or has already obtained counseling for such student.",VA HB1707
1265,section sub chapter  chapter education code is amended by adding section to read as follows sec diversity equity and inclusion offices and employees prohibited diversity equity and inclusion office means an office center department division or other unit of an institution of higher education established for the purpose of sex color or ethnicity other than through the use of colorblind and sex neutral admissions and hiring processes in accordance with any applicable state and federal anti discrimination laws color or ethnicity color or ethnicity programs or activities designed or implemented in reference to race color ethnicity gender identity or sexual orientation or,"This legislation would shut down of all diversity, equity, and inclusion (DEI) offices, programs, and contracts on college campuses. The bill includes language with negative implications for affirmative action.        ",TX HB3164
609,section title this act maybe known and cited as the transparency in education act section definitions as used in this act curriculum includes all textbooks reading materials handouts videos presentations digital materials websites online applications digital applications for  phone laptop or tablet questionnaires surveys or other written or electronic materials that have been or will be assigned s  no s official s page s cm kr distributed or otherwise presented physically or virtually to students in  class or course identity curriculum means curriculum that has the goal or purpose of studying exploring or informing students about gender roles or stereotypes gender identity gender expression sexual orientation or romantic or sexual relationships critical theory curriculum means curriculum that discusses any of the following concepts the united states or the state of mississippi is fundamentally inherently or ir redeem ably racists exist oppressive or discriminatory ii an individual by virtue of sex race ethnicity religion color or national origin is inherently racists exist oppressive or discriminatory whether consciously or unconsciously an individual by virtue of sex race ethnicity religion color or national origin should be blamed or held responsible for actions committed in the past by other members of the individuals sex race ethnicity religion color or national origin ivan individuals moral character is necessarily determined in whole or in part by the individuals sex race ethnicity religion color or national origin s  no s official s page s cm kr van individual should feel guilt blame discomfort anguish or any other form of psychological distress on account of the individuals sex race ethnicity religion color or national origin or vi any individual by virtue of sex race ethnicity religion color or national origin is marginalized as perpetually victimized or unable to advance in society due to being victimized marginalized or oppressed by others public school or school means  school subject to the provisions of title mississippi code of public school does not include any school not subject to title including  private school religious school or home educating family parent means the natural or adoptive parent or legal guardian of  minor child syllabus means  written description of all topics and subjects taught in  class or course and shall include list of all curriculum used in the class or course the identity of all individuals providing in person or live remote instruction in the class or course and  description of any assemblies guest lectures field trips or other educational activities that are part of the class or course section parents rights and school procedures each,"This bill provides parents of public school students certain rights related to their child's education, including the right to review a syllabus, curriculum and teacher-training materials and meet with the teacher to discuss course content. The bill requires public schools to adopt procedures to ensure that a parent provides written permission before their child participates in identity curriculum or critical theory curriculum and allow parents to exempt their child from any specific lessons that are objectionable to the family. The bill directs public schools to hold a curriculum night to allow parents to review the curriculum and meet with teachers and staff and provides parental access to certain school district records concerning their child.",MS SB2820
831,mammoplasty facial fem in iz ation surgery liposuction lip  filling voice surgery thyroid cartilage reduction  lute al augmentation hair reconstruction or various aesthetic procedures or surgical procedures for biologically female patients such as subcutaneous mastectomy voice surgery liposuction lip  filling pectoral implants or various aesthetic procedures physician an individual who is licensed as  physician under chapter puberty blocking drugs gona do tro pin releasing hormone analogues or other synthetic drugs used in biological sex males to stop luteinizing hormone secretion and therefore testosterone secretion or synthetic drugs used in biological sex females that stop the production of estrogen  and progesterone when used to delay or suppress pu bert al development in children for the purpose of assisting an individual with gender transition public funds state county or local government money  including any such money  deposited with or derived from any department agency or instrumentality authorized or appropriated understate law physician or other healthcare providers hall not knowingly provide gender transition procedures to any individual under eighteen years of age and shall not refer any individual under eighteen years of age to any healthcare provider for gender transition procedures public funds shall not be directly or indirectly used granted paid or distributed to any individual entity or organization that provides gender transition procedures to an individual under eighteen years of age the mo health net programs hall not reimburse or provide coverage for gender transition procedures to an individual under eighteen years of age the provisions of this sections hall not apply to any speech protected by the first amendment of the united states constitution any referral for or provision of gender transition procedures to an individual under eighteen years of ages hall be considered unprofessional conduct and any healthcare provider doing so maybe subject to discipline by the appropriate licensing entity or disciplinary review board with competent jurisdiction in this state sections to shall not apply to the provision of cross sex hormones to any individual under eighteen years of age who was prescribed cross sex hormones before january to treat an inconsistency between the individuals biological sex and the individuals perceived gender or perceived sex the provision of  gender transition procedure to an individual under eighteen years of age in violation of sections to shall be considered grounds for  cause of action against the physician or healthcare provider the provisions of chapter shall not apply to any action brought under this section an individual under eighteen years of age may bring an action under this,"This bill establishes the ""Missouri Child and Adolescent Protection (MCAP) Act"". This bill provides that a health care provider shall not knowingly provide gender transition procedures to any individual under 18 years of age and shall not refer any individual under 18 years of age to another health care provider for gender transition procedures. Any such provision of or referral for gender transition procedures to an individual under 18 years of age shall constitute unprofessional conduct and subject the health care provider to professional discipline. The provision of gender transition procedures to an individual under 18 years of age shall be considered grounds for a cause of action against the health care provider. However, the bill makes   an exception for the provision of cross-sex hormones to individuals who were prescribed cross-sex hormones before January 1, 2024,   to treat an inconsistency between the individual's biological   sex and the individual's perceived gender or perceived sex. An individual under 18 years of age shall have standing as provided under the bill and a claimant for damages under the provisions of this bill may be awarded compensatory damages, injunctive relief, declaratory judgment, punitive damages, and any other appropriate relief. The Attorney General may bring an action to enforce compliance with the provisions of this bill. Public funds may not be paid or distributed to any individual or entity that provides gender transition procedures to an individual under 18 years of age. MO HealthNet shall not reimburse or provide coverage for gender transition procedures to an individual under 18 years of age.",MO HB916
879,medication or surgery as  treatment to address an inconsistency between  minors sex and the minors perceived gender or perceived sex any amount paid by an individual or entity during  tax year for the provision of either medication or surgery as  treatment to address an inconsistency between  minors sex and the minors th legislature authorized print version perceived gender or perceived sex is not tax deductible the montana medicaid program may not reimburse or provide coverage for medication or surgery as  treatment to address an inconsistency between  minors sex and the minors perceived gender or perceived sex except to the extent required by the first amendment to the united states constitution state property facilities or buildings may not be used to promote or advocate the use of social transitioning medication or surgery as  treatment to address an inconsistency between  minors sex and the minors perceived gender or perceived sex healthcare professional or physician employed by the state or  county or local government may not provide medication or surgery as  treatment to address an inconsistency between  minors sex and the minors perceived gender or perceived sex state property facilities or buildings may not be used to provide medication or surgery as treatment to address an inconsistency between  minors sex and the minors perceived gender or perceived sex state employee whose official duties include the care of minors may not while engaged in those official duties provide or promote the use of social transitioning medication or surgery as  treatment to address an inconsistency between  minors sex and the minors perceived gender or perceived sex except as provided in subsection ca person may not knowingly provide the following treatment either as  necessary or elective treatment to  female minor to address the minors perception that her gender or sex is not female surgical procedures including  vaginectomy hysterectomy  oph or ectomy ovariectomy reconstruction of the urethra metoidioplasty phalloplasty scrotoplasty implantation of erection or testicular pro these  subcutaneous mastectomy voice surgery or pectoral implants is up rap hy sio logic doses of testosterone or other androgens or puberty blockers such as gnrh ago nist  or other synthetic drugs that suppress the production of estrogen and progesterone to delay or suppress pu bert al development in female minors,"This act creates the youth health protection act which prohibits certain medical and surgical treatments to treat minors with gender dysphoria. The act also prohibits public funds, programs, property, and employees from being used for these treatments and provides that a health care professional who violates this law commits professional misconduct. The bill provides a private cause of action and prohibits discharge of professional liability via insurance.",MT SB99
1014,if there is probable cause to believe that  violation has occurred the attorney general or appropriate states attorney may bring an action against  healthcare provider that knowingly violates section to enjoin further violations to disgorge any profits received due to the medical procedure or medication and to recover  civil penalty of  twenty five thousand dollars per violation if the violation involved the surgical removal modification alteration or entering of tissues cavities or organs of an individual and  twenty thousand dollars per violation if the violation involved prescribing administering dispensing or otherwise supplying any drug or device to an individual civil penalty collected under this section must be paid into the state general fund the attorney general or appropriate states attorney is entitled to reasonable attorneys fees court costs and expenses if the attorney general or states attorney prevails in an action brought under this section jurisdiction for an action brought under this section is the district court in the judicial district serving burleigh county or in the judicial district where the violation occurred healthcare provider licensing sanctions  violation of section constitutes  potential threat to public health safety and welfare and requires emergency action by an alleged violators appropriate regulatory authority upon receiving notification pursuant to subsection of section or upon otherwise becoming aware of an alleged violation of section the appropriate regulatory authority shall proceed with appropriate disciplinary action page no sixty eighth legislative assembly minor immunity  minor upon whom  medical procedure is performed or to whom medication is administered may not beheld liable for violating section section emergency this act is declared to bean emergency measure page no,This bill relates to prohibiting medical gender transitioning procedures on a minor.,ND HB1301
445,whether the childs school campus is assigned  school resource officer or not within one business day of the school attaining knowledge of the occurrence of the following incidents on the campus of the school the child attends physical assault sexual assault unlawful possession of  weapon on school property unlawful drug use or possession police investigations unless no report is requested by police notice to the parent of the parents child being involved in bullying incident as defined in section of this act and g regardless of the incidents location serious crimes such as capital offenses felonies or class  misdemeanors of which teacher or other school employee who works at the childs school campus is charged or convicted and at the beginning of the school year or upon enrollment of  report compiling the incidents outlined in sub paragraph of this paragraph from the previous school year to request and receive without charge one copy of all information identified in this subsection related to the child and the rights outlined in the sections to and of this act to guard the rights outlined in sections to and of this act each local board of education or charter school board of directors shall take necessary actions and shall adopt policies and procedures to unofficial copy rs br page of xxxx am jacketed  notify the parents of each enrolled child at the beginning of the school year or upon enrollment of the parental rights outlined in sections to and of this act ensure that no information relating to  child that requires prior consent under sections to of this act is created collected stored or shared without the prior consent of the parent censure that no service or activity relating to  child that requires prior consent under sections to of this act is conducted without the prior consent of the parent provide prompt notification without solicitation request or inquiry from parent as required by sections to and of this act provide the opportunity to access review and receive in digital form without charge any requested information involving  parents minor child as permitted by sections to of this act upon the written request of the parent within five business days of the receipt of the request notify parents of major changes in their childs mental emotional and physical health and wellbeing including but not limited to those listed in subsection of this section g prohibit any teacher or other school employee from withholding any information concerning  childs academic record or mental emotional or physical wellbeing including but not limited to those referenced in subsection of this section from the childs parent prohibit any teacher or other school employee from coercing or discouraging  child from sharing any information concerning the childs,"This bill creates new sections of KRS Chapter 158 to define terms, make legislative findings and declarations on the rights of parents as it relates to public schools and establish a standard to protect those rights, and requires public schools to establish a process to receive complaints of violations. This bill also creates a cause of action for violations and establish limitations, establishes specific parental rights as related to public schools, and requires public schools to adopt policies to protect those rights. The bill requires the Kentucky Department of Education to eliminate administrative regulations in violation and develop recommended policies to public schools for compliance. The bill makes findings and declarations related to privacy of parents and children and require public schools to adopt policies to safeguard those rights and establishes a cause of action for a child encountering a person of the opposite biological sex while in a location where there is a reasonable expectation of bodily privacy. The bill also creates a cause of action for those who are forced by a public school to share private quarters with specific people of the opposite biological sex and provide exclusions and makes findings and declarations relating to controversial subject matter in common schools. The bill would establish a parental right of not having a child indoctrinated into any political position or being involved in advocacy in a controversial subject matter. The bill would also establish limitations on school personnel related to instruction and discussion on sexual orientation, sexual preference, or gender expression as well as establish limitations on school personnel advocacy in the scope of employment and actions based on the immutable characteristics of students. This bill prohibits compelling school personnel to advocate for or against anything in opposition to sincerely held beliefs and convictions and requires public schools to adopt enforcement policies. The bill establishes a parental right to expect a child not be exposed to or given access to harmful to minors, pervasively vulgar, or obscene matter or performance or obscene imagery representing minors. The bill requires that public schools adopt policies to protect that right by making those materials and performances inaccessible and prohibit matters and performances harmful to minors, drag performances, pervasively vulgar performances, obscene performances, and any performance involving sexual conduct, nudity, or stripping. The bill provides that none of the materials identified shall be deemed to have educational value for minors.",KY SB102
1135,if any section subsection paragraph sub paragraph sentence clause phrase or word of this act is for any reason held to be unconstitutional or invalid such holdings hall not affect the constitutionality or validity of the remaining portions of this act the general assembly hereby declaring that it would have passed this act and each and every section subsection paragraph sub paragraph sentence clause phrase and word there of irrespective of the fact that anyone or more other sections subsections paragraphs sub paragraphs sentences clauses phrases or words here of maybe declared to be unconstitutional invalid or otherwise ineffective section this act takes effect upon approval by the governor xxl vr do cx,"THIS BILL ENACTS THE ""LIVE AND LET LIVE ACT"" TO PROHIBIT THE STATE GOVERNMENT FROM DISCRIMINATING AGAINST CERTAIN INDIVIDUALS AND ORGANIZATIONS BASED ON THEIR BELIEFS REGARDING MARRIAGE AND A PERSON'S SEX.",SC H3611
